category,image_id,filename,class_label,behavior_description,severity_level,bounding_box_x,bounding_box_y,bounding_box_w,bounding_box_h,timestamp
normal_driving,17369f28-ae90-4093-9abb-3bf718317871,lsX1E4VLSb,5,,1,1,1,1,1,2025-09-09T19:32:40.907Z
eyes_closed,f8933442-5293-4e8f-a196-1b59690b5bc5,k441G3LJq8,3,,4,1,1,1,1,2025-09-25T16:17:28.481Z
drowsy_eyes,44570e51-64cf-4690-8c0d-b986e16f03fe,R0L4dycx5V,8,,1,1,1,1,1,2025-05-20T06:23:58.867Z
yawning,06e55edc-7a7d-491d-9cac-7cf41b39d90a,pAQQmquO09,3,,1,1,1,1,1,2025-11-30T16:43:04.175Z
phone_use,f92a9098-0597-4d73-895b-d62881845513,gwoAF13QJx,8,,1,1,1,1,1,2025-07-07T21:41:49.681Z
phone_scroll,a6928fd6-d263-4043-9ffb-0e5dd24ef764,Sn04lYc0ov,7,,3,1,1,1,1,2025-09-04T00:52:39.784Z
drinking,e48e53c0-4129-4e9e-91bd-9485553a687f,WFGS9bDmEe,4,,3,1,1,1,1,2025-03-19T16:29:06.636Z
head_turned,3e0613b9-e07a-4a10-ac05-c5c433847bbb,KaKpKSU4Nj,2,,5,1,1,1,1,2025-07-07T06:22:39.985Z
no_seatbelt,2ed5ff60-50a5-4b7d-8e09-0c0f3d8fb0a3,YjgffHi7zs,8,,2,1,1,1,1,2025-05-06T09:17:19.259Z
normal_driving,d08361ad-97d9-42d4-8bee-1dbd74138b8b,nJe5kqdYAa,7,,3,1,1,1,1,2025-04-28T14:46:31.493Z
eyes_closed,a9ceff56-b677-4d46-9631-ac23b5b0d93f,4svxvbD5Fr,2,,5,1,1,1,1,2025-12-23T17:09:11.130Z
drowsy_eyes,78e3f25a-3f5c-4c43-9c7a-59bbad988010,6WFGm1NIMk,7,,1,1,1,1,1,2025-08-25T05:07:12.557Z
yawning,4ddb0777-df95-4345-8506-107e7297832f,WZQMc17Gti,2,,3,1,1,1,1,2025-04-25T07:22:14.745Z
phone_use,6fd3baec-5181-4752-9187-3a99f7f2d072,pvtp6QsUSU,2,,1,1,1,1,1,2025-08-07T18:01:20.181Z
phone_scroll,6db86d44-c33e-42cd-b742-8b8e97ce8f77,vM0kJFnRyT,6,,1,1,1,1,1,2025-07-23T23:36:19.257Z
drinking,ac2e3c68-aa93-4965-b04a-3f4a828ee755,dlvoDFGWZh,8,,3,1,1,1,1,2025-03-21T03:10:52.744Z
head_turned,2b75fd83-13a1-4756-9272-b5c75b2a2273,DERpF83M7C,7,,2,1,1,1,1,2025-07-06T18:08:41.769Z
no_seatbelt,e66c7228-abb0-49ab-b5f6-300e2dfa52b8,mJeFgAnoO5,4,,4,1,1,1,1,2025-06-04T18:17:36.505Z
normal_driving,adc1c9e6-b1c3-4492-b247-7d5b0ffe898f,QpJjAeftXW,4,,3,1,1,1,1,2025-03-02T03:28:34.051Z
eyes_closed,db2113e4-7509-454e-b4d0-76a6cccf4621,8DK3avNqk5,1,,1,1,1,1,1,2025-09-25T12:54:59.239Z
drowsy_eyes,2e8eb84a-d457-471b-9a63-80087e2fecb6,HjK9zoPFn1,4,,5,1,1,1,1,2025-06-03T12:16:44.325Z
yawning,7d1e6206-d741-46e5-8073-59bf56f8e4bb,YGvpc3bVLV,4,,1,1,1,1,1,2025-07-20T15:53:14.210Z
phone_use,3d938070-af0b-491f-97f1-d2c4d00a67e6,0NgmzZvxvm,2,,3,1,1,1,1,2025-04-11T09:23:47.113Z
phone_scroll,4908bfb8-a254-4844-8fc6-b5e2d53851a7,6wLmjvS7G0,2,,4,1,1,1,1,2025-08-16T02:13:11.512Z
drinking,817e99a3-32a8-4785-8b56-e1c3191b6f07,Ep3R13CXmh,4,,2,1,1,1,1,2025-08-15T03:00:39.951Z
head_turned,e3a4ae10-12cd-48d2-aa33-109d7e9e3191,F2zbg6FDh7,7,,2,1,1,1,1,2025-09-11T17:19:25.975Z
no_seatbelt,fc225ae5-8b0f-43ec-98b8-96729c4b6207,4mJmnYq1Or,1,,5,1,1,1,1,2025-10-01T14:54:00.590Z
normal_driving,41d5288e-d6ba-4091-b97a-93d7098532e2,Y23IO4oIHa,1,,5,1,1,1,1,2025-05-24T05:01:22.800Z
eyes_closed,2231cbe4-b3b5-4838-8069-97df7de79cb0,lsRcKrhSqd,4,,1,1,1,1,1,2025-10-09T01:11:10.353Z
drowsy_eyes,cd000494-4874-493b-b6c2-83ae226b99e4,Mag0yt7jXP,7,,5,1,1,1,1,2025-02-25T06:38:59.345Z
yawning,5c615897-042f-4896-9f6d-fec503cd6faf,YW6Ic0N17J,8,,1,1,1,1,1,2025-02-26T07:54:38.625Z
phone_use,e4327e64-1c02-49dc-85d7-b1f367d31dff,xxSWb4gcZi,1,,4,1,1,1,1,2025-02-07T11:42:39.369Z
phone_scroll,93733a4f-1b2d-4243-964a-8e8f14f18b89,loC2Dq7frJ,1,,1,1,1,1,1,2025-04-19T14:34:25.087Z
drinking,3b8f1117-f5b9-4534-9430-80b44627df40,tK9Cz4Qxlr,3,,2,1,1,1,1,2025-07-07T09:58:48.741Z
head_turned,c69ed64a-c861-4cdc-8c10-bb063146d0fa,LyW3aMVZO4,3,,3,1,1,1,1,2025-11-22T22:10:10.978Z
no_seatbelt,732a91ac-2ccc-4b33-b4ce-eb138d8cbcd2,MRhFJwpqJn,2,,4,1,1,1,1,2025-01-27T07:14:58.206Z
normal_driving,5e875c9f-509f-42c1-9567-5457e894f7db,nDmxbbePTq,3,,1,1,1,1,1,2025-02-17T23:52:23.560Z
eyes_closed,6a9d19ab-28eb-4b5e-9279-4c93ce788a6d,1ZMcTUSxoF,3,,2,1,1,1,1,2025-09-09T21:26:44.590Z
drowsy_eyes,2243e0f6-33a5-4c95-aeb2-f0f56d2a9586,ZbemCI0yvG,7,,1,1,1,1,1,2025-07-30T08:33:58.612Z
yawning,3f881e43-2bab-4256-86e1-369ab7a94183,3YpWVybm0l,3,,4,1,1,1,1,2025-07-05T15:50:50.598Z
phone_use,41bf9dcb-8c5a-456a-afb5-277ea879561c,49ssbh1Rz7,8,,2,1,1,1,1,2025-06-05T22:59:18.374Z
phone_scroll,a08fc6fa-29e4-4772-b3de-656f1b9c9746,tK04Pnh5ub,2,,4,1,1,1,1,2025-11-27T11:20:39.688Z
drinking,0f5d78bc-44ec-4872-86d7-c9d12d3eb28d,rcw4SpyK5C,5,,2,1,1,1,1,2025-10-07T23:12:45.523Z
head_turned,71a8552f-6b09-49a2-8c9a-29907ce2d687,O9tKd8uepk,1,,2,1,1,1,1,2025-03-26T00:08:13.120Z
no_seatbelt,67e26979-e02d-4f95-8af4-01a9d2b75f1a,b2PUqrVVb5,7,,2,1,1,1,1,2026-01-13T02:53:46.075Z
